id,year_month,variable,value,monthly_screen_time,app_to_screen_ratio
AS14.02,2014-03,appCat.social,9300.947,98610.97800183296,0.09431958985161992
AS14.02,2014-03,appCat.travel,3680.611,98610.97800183296,0.0373245562976932
AS14.02,2014-03,appCat.utilities,67.163,98610.97800183296,0.0006810904968283712
AS14.02,2014-04,appCat.builtin,20008.125,76883.44499850273,0.2602397044043701
AS14.02,2014-04,appCat.communication,32306.812,76883.44499850273,0.4202050519540216
AS14.02,2014-04,appCat.entertainment,7312.039,76883.44499850273,0.09510550678552969
AS14.02,2014-04,appCat.other,1341.68,76883.44499850273,0.017450830930197374
AS14.02,2014-04,appCat.social,5717.479,76883.44499850273,0.0743655412437794
AS14.02,2014-04,appCat.travel,2729.438,76883.44499850273,0.03550098464049256
AS14.02,2014-04,appCat.utilities,93.51899999999999,76883.44499850273,0.0012163736939964284
AS14.03,2014-03,appCat.builtin,5341.1359999999995,45136.39100027085,0.11833325353743832
AS14.03,2014-03,appCat.communication,16230.356,45136.39100027085,0.35958470848727375
AS14.03,2014-03,appCat.entertainment,25492.322,45136.39100027085,0.5647842336319496
AS14.03,2014-03,appCat.finance,803.127,45136.39100027085,0.017793336644819045
AS14.03,2014-03,appCat.office,545.056,45136.39100027085,0.012075755015431547
AS14.03,2014-03,appCat.other,2637.333,45136.39100027085,0.05843030294522604
AS14.03,2014-03,appCat.travel,456.79,45136.39100027085,0.010120215415478365
AS14.03,2014-03,appCat.unknown,165.091,45136.39100027085,0.0036576030192358388
AS14.03,2014-03,appCat.utilities,68.024,45136.39100027085,0.0015070766291348328
AS14.03,2014-03,appCat.weather,76.809,45136.39100027085,0.001701708938127975
AS14.03,2014-04,appCat.builtin,53332.279,134705.51399040222,0.39591756432331293
AS14.03,2014-04,appCat.communication,49116.503,134705.51399040222,0.3646213250297946
AS14.03,2014-04,appCat.entertainment,83593.734,134705.51399040222,0.6205665345366341
AS14.03,2014-04,appCat.finance,1412.1009999999999,134705.51399040222,0.010482874517672767
AS14.03,2014-04,appCat.office,2943.466,134705.51399040222,0.021851117395311093
AS14.03,2014-04,appCat.other,13860.286,134705.51399040222,0.10289323420708336
