row_number,id,time,variable,value,deviation
1939125,AS14.09,2014-04-08 13:22:51.990,appCat.travel,127.198,4.239225603159112
1939632,AS14.09,2014-04-11 11:39:06.246,appCat.travel,279.163,11.196007442514619
1940523,AS14.09,2014-04-19 23:33:16.476,appCat.travel,421.816,34.69765392794809
2170551,AS14.09,2014-04-01 17:35:46.552,appCat.unknown,620.648,25.17220183604001
2401623,AS14.09,2014-03-24 19:10:01.198,appCat.utilities,16.997,107.10080914615926
2402200,AS14.09,2014-03-26 16:11:12.951,appCat.utilities,50.557,9.388546159800658
2404204,AS14.09,2014-04-02 13:24:10.789,appCat.utilities,11.125,10.031019730380562
2404205,AS14.09,2014-04-02 13:24:21.924,appCat.utilities,41.052,12.063040048157466
2406648,AS14.09,2014-04-12 18:29:51.440,appCat.utilities,56.07,15.613059125337076
68829,AS14.09,2014-03-21 22:24:13.714,screen,396.094000101089,7.818797336950269
68841,AS14.09,2014-03-21 23:51:35.783,screen,764.265000104904,41.154650597913374
68854,AS14.09,2014-03-22 10:26:56.055,screen,323.886999845505,6.133208270376926
68911,AS14.09,2014-03-22 20:10:25.928,screen,434.919000148773,9.411111953214625
68927,AS14.09,2014-03-22 23:35:15.387,screen,365.584999799728,25.602730729096777
68976,AS14.09,2014-03-23 18:18:43.098,screen,267.080999851227,10.290630409495195
68993,AS14.09,2014-03-23 21:20:17.839,screen,1135.75100016594,11.736735057029799
69004,AS14.09,2014-03-23 22:57:08.540,screen,977.876000165939,7.71808059785258
69037,AS14.09,2014-03-24 11:22:45.622,screen,329.925000190735,10.223708766531237
69054,AS14.09,2014-03-24 12:11:31.828,screen,271.470999956131,3.4277581496582057
69067,AS14.09,2014-03-24 14:01:46.269,screen,360.34299993515,17.862238995833337
69091,AS14.09,2014-03-24 18:50:31.611,screen,328.970999956131,3.5664407241493503
69118,AS14.09,2014-03-25 10:05:15.539,screen,286.204999923706,6.16463603420844
69140,AS14.09,2014-03-25 13:22:53.187,screen,234.265000104904,4.221400243860886
69142,AS14.09,2014-03-25 13:36:13.747,screen,337.81200003624,3.5553226979500625
69201,AS14.09,2014-03-25 21:54:59.309,screen,273.143000125885,5.37324077402281
69212,AS14.09,2014-03-25 23:54:01.130,screen,568.199999809265,13.127650024599166
69232,AS14.09,2014-03-26 11:51:05.207,screen,3777.26699995995,78.30118291267081
69270,AS14.09,2014-03-26 16:09:57.980,screen,546.299999952316,13.867554769085752
69288,AS14.09,2014-03-26 23:21:13.404,screen,342.139999866486,4.031195438550172
69299,AS14.09,2014-03-27 10:05:32.549,screen,239.688999891281,4.416858325180037
69305,AS14.09,2014-03-27 11:36:31.375,screen,292.263000011444,3.200395657303847
69328,AS14.09,2014-03-27 18:51:48.954,screen,323.625,4.631741796563291
69353,AS14.09,2014-03-27 23:38:46.065,screen,416.052999973297,6.641708087088204
69356,AS14.09,2014-03-28 00:34:30.061,screen,877.578999996185,6.569604453403083
69385,AS14.09,2014-03-28 16:08:52.716,screen,316.756999969482,3.632263999549469
69424,AS14.09,2014-03-28 22:20:42.448,screen,1074.67600011826,17.76376043553287
69425,AS14.09,2014-03-28 22:38:39.509,screen,1268.14300012589,3.405275447759674
69459,AS14.09,2014-03-29 14:53:51.210,screen,291.665999889374,5.726750830584566
69471,AS14.09,2014-03-29 15:46:46.476,screen,242.407999992371,8.86484663441978
69475,AS14.09,2014-03-29 16:11:17.250,screen,301.028000116348,3.629520644339394
69478,AS14.09,2014-03-29 16:21:43.098,screen,538.083999872208,4.109670216040051
69500,AS14.09,2014-03-29 18:18:57.716,screen,374.481999874115,6.416064073343233
69532,AS14.09,2014-03-30 03:57:28.678,screen,239.822000026703,7.211309678859896
69533,AS14.09,2014-03-30 04:01:46.963,screen,302.528000116348,3.4381425932145793
69555,AS14.09,2014-03-30 14:36:02.911,screen,438.6859998703,4.538300881545437
69560,AS14.09,2014-03-30 15:13:52.703,screen,1625.55799984932,10.84941927726989
69595,AS14.09,2014-03-30 18:20:13.875,screen,258.467000007629,4.813458755412505
69620,AS14.09,2014-03-30 20:25:57.744,screen,254.405000209808,14.419575278092077
69638,AS14.09,2014-03-31 00:47:14.575,screen,300.857000112534,3.9897806486605947
69681,AS14.09,2014-03-31 14:06:36.548,screen,261.259999990463,4.8120358611349205
69685,AS14.09,2014-03-31 14:21:38.490,screen,459.34500002861,4.782021883121437
69696,AS14.09,2014-03-31 15:32:05.358,screen,350.269000053406,5.219414021320054
69718,AS14.09,2014-03-31 17:32:56.368,screen,271.355999946594,9.472853153328979
69731,AS14.09,2014-03-31 23:00:45.184,screen,262.68499994278,9.739453103977503
69744,AS14.09,2014-04-01 00:21:47.721,screen,975.700000047684,27.368468876447487
69764,AS14.09,2014-04-01 11:23:31.938,screen,208.464000225067,9.849256704295973
69789,AS14.09,2014-04-01 13:04:42.107,screen,196.661999940872,7.529411808412026
69793,AS14.09,2014-04-01 13:16:58.378,screen,2232.98000001907,32.90082455867376
69810,AS14.09,2014-04-01 17:35:34.200,screen,658.345999956131,17.37944631963915
69821,AS14.09,2014-04-01 18:33:41.424,screen,297.710000038147,4.295892933514844
69824,AS14.09,2014-04-01 18:56:23.454,screen,404.140000104904,3.478137959280246
69834,AS14.09,2014-04-01 21:22:29.951,screen,620.777000188828,4.123655430060706
69848,AS14.09,2014-04-01 23:41:37.367,screen,765.692999839783,4.120353448359918
69874,AS14.09,2014-04-02 13:02:30.111,screen,1031.02600002289,42.37062420693272
69907,AS14.09,2014-04-03 00:35:41.085,screen,232.095999956131,3.942470321991064
69976,AS14.09,2014-04-03 16:07:25.680,screen,222.109999895096,3.4202555006451787
69978,AS14.09,2014-04-03 16:14:58.375,screen,469.848000049591,5.781332136852338
70038,AS14.09,2014-04-03 23:25:02.387,screen,428.128000020981,52.89328540676768
70049,AS14.09,2014-04-04 01:02:07.680,screen,543.328999996185,3.614569065465568
70094,AS14.09,2014-04-04 19:50:49.122,screen,288.173000097275,6.871415535700654
70098,AS14.09,2014-04-04 20:07:15.691,screen,537.914000034332,5.554980731036202
70119,AS14.09,2014-04-04 23:01:44.634,screen,235.567999839783,8.61078978512794
70122,AS14.09,2014-04-04 23:38:46.410,screen,457.679999828339,5.74852494789685
70220,AS14.09,2014-04-05 22:03:26.612,screen,224.055000066757,5.253175973240062
70232,AS14.09,2014-04-05 23:21:20.484,screen,422.93700003624,3.4631327001478134
70275,AS14.09,2014-04-06 16:25:04.198,screen,391.007000207901,10.337542841756381
70333,AS14.09,2014-04-06 23:05:55.760,screen,253.631000041962,4.159851905796784
70337,AS14.09,2014-04-06 23:51:02.582,screen,390.108999967575,4.220120679319114
70370,AS14.09,2014-04-07 12:34:48.605,screen,195.742000102997,3.906222147101651
70386,AS14.09,2014-04-07 15:34:00.532,screen,598.263000011444,7.697385184457107
